,Exposure,Factor_Return,Factor_Var
CNE5S_BETA,0.07519063797162732,-0.04183751535109774%,3.896910822537294e-07
CNE5S_MOMENTUM,0.07251116000145523,-0.20794443298152543%,1.1034342297419868e-07
CNE5S_SIZE,0.00816354011493676,-0.03613860485929288%,1.9434697622524454e-07
CNE5S_EARNYILD,0.11335723508149553,0.028600826520418274%,3.630543399754359e-08
CNE5S_RESVOL,-0.07029080925478677,0.0011089000167296477%,9.390010548567827e-09
CNE5S_GROWTH,0.019612814358224054,0.01490405375368293%,1.0465132991653619e-09
CNE5S_BTOP,0.015161095672353932,-0.013400802245886852%,2.360562569291146e-09
CNE5S_LEVERAGE,0.04831053191139239,-0.008411358773002791%,3.6953841147885953e-09
CNE5S_LIQUIDTY,0.19285043793748471,0.020153062616178358%,2.630569964976143e-07
CNE5S_SIZENL,0.08361435350938697,0.14160408974957256%,2.5530212512446806e-08
CNE5S_ENERGY,0.01415835463394351,-0.04604417384071542%,1.3901946285212423e-08
CNE5S_CHEM,0.027455239608958636,0.04794675540052377%,2.4187984287284503e-09
CNE5S_CONMAT,0.005052946508781678,-0.004487965246870856%,1.1693522576758734e-09
CNE5S_MTLMIN,0.024668763896885437,0.02334440380125307%,4.273957021285004e-08
CNE5S_MATERIAL,0.008608857327933534,-0.00365305639702994%,1.2849328840500968e-09
CNE5S_AERODEF,0.0024631907851344124,0.01819425687401283%,4.1594736627401976e-09
CNE5S_BLDPROD,0.001573976459013996,-0.0005902532383424682%,6.234938694246263e-11
CNE5S_CNSTENG,0.016819639723384707,0.01617104205694828%,3.6219462019056826e-09
CNE5S_ELECEQP,0.01424584402683911,0.019210969855236924%,3.7562383425698706e-09
CNE5S_INDCONG,0.0005664338107155356,-0.0045306679569555594%,3.736624703763829e-11
CNE5S_MACH,0.02003957413733633,0.019877788475337818%,3.6452064155891837e-09
CNE5S_TRDDIST,0.007420972117464582,0.0005327725185277413%,4.698555842517868e-10
CNE5S_COMSERV,0.0024632857855213758,0.004221139472673376%,6.73799159296965e-11
CNE5S_AIRLINE,0.004915130714786109,0.049427160996111594%,1.3736847167171572e-08
CNE5S_MARINE,0.0015347343581970732,-0.005654369353806941%,6.522354225160377e-11
CNE5S_RDRLTRAN,0.01770767346318598,0.03126329322526353%,6.3744413141119715e-09
CNE5S_AUTO,0.019600747365182927,0.03452441375416364%,5.02147122112993e-09
CNE5S_HOUSEDUR,0.015837858517433547,-0.016420517526075207%,1.202362271246504e-08
CNE5S_LEISLUX,0.005573548603902125,0.005588841953002606%,2.882526715475045e-10
CNE5S_CONSSERV,0.008112441843105615,-0.016976545740468595%,4.730780655609599e-09
CNE5S_MEDIA,0.004712284634303397,0.009986463783324661%,7.740899634095894e-10
CNE5S_RETAIL,0.007919637375809046,-0.00018883476355194306%,9.767725716318315e-10
CNE5S_PERSPRD,0.0033650979849372434,-0.0036411080028718582%,3.0314756083614717e-10
CNE5S_BEV,0.01547639128136858,-0.1132293735005104%,3.3158141320033585e-08
CNE5S_FOODPROD,0.016466739549024372,-0.03244127088263597%,2.1132721746522983e-09
CNE5S_HEALTH,0.035256169186265854,0.035040569708509495%,1.455398216604808e-08
CNE5S_BANKS,0.04050712872820261,-0.03919343723400818%,7.206631274939783e-08
CNE5S_DVFININS,0.03580480191091394,-0.11644664643757771%,5.683573719218042e-08
CNE5S_REALEST,0.025210970891388875,-0.11660081665121767%,2.8514808520232816e-08
CNE5S_SOFTWARE,0.01869045078805934,0.07317884568724521%,1.6198269465350058e-08
CNE5S_HDWRSEMI,0.02964425508176264,0.10660639710128599%,4.321175006435461e-08
CNE5S_UTILITIE,0.016167990100257924,-0.0017067824782505583%,8.831131618685997e-09
CNE5S_COUNTRY,0.4680411312,0.6357456948859348%,5.123085589572072e-05
